Step,6671 - eval/episode_reward,6671 - eval/episode_reward__MIN,6671 - eval/episode_reward__MAX,6672 - eval/episode_reward,6672 - eval/episode_reward__MIN,6672 - eval/episode_reward__MAX,6670 - eval/episode_reward,6670 - eval/episode_reward__MIN,6670 - eval/episode_reward__MAX,6673 - eval/episode_reward,6673 - eval/episode_reward__MIN,6673 - eval/episode_reward__MAX
0,1.694038421,1.694038421,1.694038421,3.00491833,3.00491833,3.00491833,3.394474865,3.394474865,3.394474865,3.447109932,3.447109932,3.447109932
10000,3.470691192,3.470691192,3.470691192,5.348558682,5.348558682,5.348558682,1.819523732,1.819523732,1.819523732,1.30258919,1.30258919,1.30258919
20000,11.63898249,11.63898249,11.63898249,22.19391371,22.19391371,22.19391371,5.189442843,5.189442843,5.189442843,27.28785742,27.28785742,27.28785742
30000,22.87690217,22.87690217,22.87690217,43.69188297,43.69188297,43.69188297,20.66569148,20.66569148,20.66569148,13.3103898,13.3103898,13.3103898
40000,46.80695296,46.80695296,46.80695296,42.80758126,42.80758126,42.80758126,53.77124819,53.77124819,53.77124819,40.77684967,40.77684967,40.77684967
50000,62.32835938,62.32835938,62.32835938,62.79751151,62.79751151,62.79751151,66.71765904,66.71765904,66.71765904,40.78904612,40.78904612,40.78904612
60000,46.39568186,46.39568186,46.39568186,66.30753384,66.30753384,66.30753384,64.90207002,64.90207002,64.90207002,58.26185245,58.26185245,58.26185245
70000,56.65735107,56.65735107,56.65735107,70.48053846,70.48053846,70.48053846,56.18406048,56.18406048,56.18406048,49.42406421,49.42406421,49.42406421
80000,45.59112341,45.59112341,45.59112341,69.06831671,69.06831671,69.06831671,75.13953576,75.13953576,75.13953576,63.78413786,63.78413786,63.78413786
90000,58.84254397,58.84254397,58.84254397,76.78073112,76.78073112,76.78073112,76.12666884,76.12666884,76.12666884,66.04236603,66.04236603,66.04236603
100000,81.75027509,81.75027509,81.75027509,77.60620977,77.60620977,77.60620977,80.96383219,80.96383219,80.96383219,53.09341718,53.09341718,53.09341718
110000,74.77948442,74.77948442,74.77948442,76.04692863,76.04692863,76.04692863,78.37323652,78.37323652,78.37323652,62.6056354,62.6056354,62.6056354
120000,82.56568422,82.56568422,82.56568422,76.72470236,76.72470236,76.72470236,76.57481789,76.57481789,76.57481789,49.01072381,49.01072381,49.01072381
130000,78.95317552,78.95317552,78.95317552,80.44985041,80.44985041,80.44985041,74.0491331,74.0491331,74.0491331,74.0977946,74.0977946,74.0977946
140000,85.52042275,85.52042275,85.52042275,83.02776565,83.02776565,83.02776565,80.25605347,80.25605347,80.25605347,88.26991738,88.26991738,88.26991738
150000,94.57881119,94.57881119,94.57881119,92.01537465,92.01537465,92.01537465,80.35066993,80.35066993,80.35066993,94.45483331,94.45483331,94.45483331
